Message,Disaster,Urgency,Assistance
"Water is rising rapidly near the main road.",Flood,High,"Rescue team"
"Floodwater has entered several houses in the area.",Flood,Critical,"Evacuation team"
"Heavy rain has flooded the street outside our building.",Flood,Medium,"Pumping equipment"
"The road to the village is completely underwater.",Flood,High,"Rescue team"
"People are stranded on the second floor because of flooding.",Flood,Critical,"Boat rescue"
"Water has entered the basement parking area.",Flood,Medium,"Water pumping team"
"The local drain has overflowed onto the road.",Flood,Low,"Municipal cleanup"
"Vehicles are stuck in deep floodwater near the bridge.",Flood,High,"Rescue team"
"Children are stranded inside a flooded school.",Flood,Critical,"Emergency evacuation"
"Floodwater is reaching the windows of our house.",Flood,Critical,"Evacuation team"
"The railway tracks are covered with water.",Flood,High,"Railway emergency team"
"Several shops have been flooded after continuous rain.",Flood,Medium,"Relief supplies"
"The river has crossed its danger level.",Flood,Critical,"Evacuation team"
"Water is flowing across the highway.",Flood,High,"Traffic control team"
"Our neighborhood has been cut off by floodwater.",Flood,High,"Rescue team"
"The street drains cannot handle the rainfall.",Flood,Medium,"Municipal drainage team"
"Floodwater is carrying debris through the residential area.",Flood,High,"Rescue team"
"An elderly couple is trapped inside their flooded home.",Flood,Critical,"Emergency rescue"
"The underpass is completely filled with water.",Flood,High,"Road closure team"
"Water is entering the ground-floor apartments.",Flood,High,"Evacuation team"
"Several cars are submerged near the market.",Flood,High,"Traffic rescue team"
"The village bridge is surrounded by floodwater.",Flood,High,"Bridge inspection team"
"Rainwater has flooded the hospital entrance.",Flood,High,"Emergency access team"
"The school playground has turned into a large pool.",Flood,Low,"Municipal drainage team"
"Floodwater is rising around the electricity transformer.",Flood,Critical,"Electricity emergency team"
"The basement has filled with dirty rainwater.",Flood,Medium,"Pumping equipment"
"People cannot cross the flooded railway crossing.",Flood,High,"Traffic control team"
"Water is entering our house through the front door.",Flood,High,"Evacuation team"
"The riverbank has overflowed into nearby farmland.",Flood,Medium,"Agricultural relief team"
"Floodwater has blocked the main entrance to the colony.",Flood,High,"Rescue team"
"Several residents are trapped on rooftops.",Flood,Critical,"Boat rescue"
"The parking lot is completely submerged.",Flood,Medium,"Water pumping team"
"The main market road is under nearly a meter of water.",Flood,High,"Road closure team"
"Flooding has damaged electrical equipment in our building.",Flood,Critical,"Electricity emergency team"
"The drainage channel has overflowed after the storm.",Flood,Medium,"Municipal cleanup"
"Water is moving very quickly through the lane.",Flood,Critical,"Emergency rescue"
"Floodwater has surrounded our apartment complex.",Flood,High,"Evacuation team"
"The bus depot has been flooded.",Flood,High,"Transport emergency team"
"People are unable to leave their homes because of water.",Flood,Critical,"Evacuation team"
"The footbridge is submerged under floodwater.",Flood,High,"Bridge inspection team"
"Water has entered the local clinic.",Flood,High,"Medical evacuation"
"Rain has caused severe flooding near the highway.",Flood,High,"Rescue team"
"Several livestock are trapped by rising water.",Flood,High,"Animal rescue team"
"The village road has disappeared under muddy water.",Flood,High,"Road clearance team"
"Floodwater has entered the school classrooms.",Flood,Critical,"School evacuation"
"The water level is rising every few minutes.",Flood,Critical,"Emergency rescue"
"The river is overflowing near the residential area.",Flood,Critical,"Evacuation team"
"Our street is flooded and there is no electricity.",Flood,High,"Emergency utility team"
"Water has entered the lift shaft of our building.",Flood,High,"Building safety team"
"The low-lying neighborhood is completely flooded.",Flood,Critical,"Mass evacuation"
"Rainwater has backed up through the bathroom drains.",Flood,Medium,"Plumbing and drainage team"
